,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A1BG,0.24862295,0.2914297,0.2599569,-6e-45,0.29934412,-1.3e-44,0.25656003,0.2643739,0.2865019,0.25120765,0.29130483,-1.5e-44,-1.4e-44,0.2956296,2.0396983e-07,0.29147807
A2M-AS1,0.25185928,0.2859525,0.26341003,-6e-45,0.29371384,-1.3e-44,0.25994927,0.26778585,0.28112274,0.2544613,0.28581262,-1.5e-44,-1.4e-44,0.29007077,2.0084244e-07,0.28598997
A4GALT,-6.700456e-05,0.41140655,-9.317591e-05,-4e-45,0.4219969,-1.3e-44,-7.811233e-05,-6.178096e-05,0.4049495,-6.758615e-05,0.4114293,-1.3e-44,-1.4e-44,0.41710183,2.093813e-07,0.41278532
AAAS,0.12312853,0.27237284,0.1283952,-4e-45,0.27925187,-1e-44,0.12737276,0.13105127,0.26824427,0.12409579,0.27206036,-1e-44,-1.1e-44,0.2760713,1.4570413e-07,0.27319202
AACS,0.1183844,0.18311459,0.12431782,-4e-45,0.18728653,-6e-45,0.12334469,0.1256221,0.18077567,0.11892941,0.18249895,-6e-45,-7e-45,0.1853901,7.67945e-08,0.18409547
AAED1,0.24289395,0.2822256,0.25403523,-6e-45,0.2898417,-1.1e-44,0.25074297,0.25825083,0.27749994,0.24537078,0.2820644,-1.4e-44,-1.3e-44,0.28627053,1.948896e-07,0.2823217
AAGAB,0.09302856,0.338139,0.09612798,-4e-45,0.34688866,-1.1e-44,0.095707096,0.09938304,0.33280408,0.09389494,0.33801603,-1.3e-44,-1.3e-44,0.3428318,1.8639821e-07,0.33903763
AAK1,0.13351184,0.17994449,0.14023198,-4e-45,0.18407653,-6e-45,0.13897017,0.14166911,0.17761791,0.1342295,0.17933324,-6e-45,-7e-45,0.18219382,7.9627526e-08,0.18084067
AAMDC,0.11542245,0.31944758,0.11982788,-4e-45,0.32771635,-1.1e-44,0.11897303,0.12307699,0.31440917,0.116487525,0.3192842,-1.3e-44,-1.3e-44,0.32387945,1.8011762e-07,0.32024163
AAR2,0.101121604,0.26033312,0.10541201,-4e-45,0.26676846,-8e-45,0.10480177,0.10763368,0.25651762,0.10177,0.25995848,-8e-45,-1e-44,0.26380548,1.2932118e-07,0.26130036
AARSD1,0.24992938,0.27502406,0.26149452,-6e-45,0.28244907,-1.1e-44,0.2580654,0.26568878,0.270418,0.25246316,0.27484584,-1.4e-44,-1.3e-44,0.27896607,1.9173005e-07,0.27508932
AASDHPPT,0.21416688,0.25378022,0.22416303,-4e-45,0.26043376,-1e-44,0.2214033,0.22762595,0.24971622,0.21617517,0.25349575,-1.3e-44,-1.1e-44,0.25732866,1.630415e-07,0.25408882
AATBC,0.091041684,0.2620174,0.09481247,-4e-45,0.26846594,-8e-45,0.094394535,0.09693898,0.2582018,0.091573216,0.26163787,-8e-45,-1e-44,0.26549992,1.2888468e-07,0.26304176
