,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PDCD2,0.74318075,-1.7e-44,0.06654757,0.71213984,0.68355054,0.0690205,0.05851394,0.7094337,0.69194895,0.059387103,0.76745427,0.72398067,0.6996672,-6e-45,0.06842018,0.05767055
MBTD1,0.7829948,-1.8e-44,0.063052945,0.75034106,0.7202219,0.06508364,0.055449195,0.7474514,0.7290708,0.05609359,0.8086083,0.756698,0.7371838,-7e-45,0.06459725,0.05449228
SMAD2,0.7309833,-2.4e-44,0.54613745,0.70147705,0.67293966,0.5893151,0.47897378,0.69856954,0.68041563,0.4990103,0.75444275,1.1502062,0.68772614,-1.5e-44,0.5718361,0.48483223
ARID3B,0.6674764,-1.5e-44,0.07483739,0.6395069,0.6138251,0.07829097,0.065783024,0.6371485,0.6213641,0.067157194,0.6892027,0.6632656,0.62833023,-6e-45,0.07741645,0.06517824
HOMER1,0.8759562,-2e-44,0.0542811,0.83953506,0.8058445,0.055227205,0.047756754,0.8362175,0.8157462,0.04784242,0.90469825,0.8325326,0.82478154,-8e-45,0.055028282,0.046526328
GYPE,0.50478387,-1.3e-44,0.09157124,0.48341164,0.46397892,0.09704046,0.08045697,0.48180133,0.46967286,0.08286442,0.52103525,0.5318029,0.47502384,-3e-45,0.09561449,0.080350004
ZBTB2,0.6032656,-2e-44,0.41028655,0.57861465,0.55511284,0.44241548,0.35987526,0.57637453,0.5613845,0.3747778,0.62255335,0.9111802,0.5675168,-1.1e-44,0.4297478,0.36404848
MRS2,0.61939204,-2e-44,0.42929977,0.5941321,0.56999284,0.4629814,0.37654388,0.59180665,0.5764135,0.39216888,0.6392049,0.94305664,0.58269346,-1.1e-44,0.44964072,0.38095582
ISCA1,0.8826289,-2e-44,0.053929962,0.845938,0.8119908,0.0548219,0.047448695,0.8425896,0.82196766,0.04750543,0.9115954,0.8382291,0.831069,-8e-45,0.054633856,0.04620248
AMN1,0.60326403,-2e-44,0.4302652,0.5786564,0.55513716,0.46408767,0.37739065,0.5764055,0.5613761,0.39309043,0.6225345,0.9293924,0.5674964,-1.1e-44,0.4507168,0.38184232
ITGA4,0.9073133,-2e-44,0.052356116,0.86962426,0.83472794,0.053024262,0.046068117,0.8661616,0.8449829,0.046006784,0.93711084,0.8590523,0.8543285,-8e-45,0.052886136,0.044759735
CYP1B1,0.84084594,-1.8e-44,0.06059637,0.8058565,0.7735119,0.06220729,0.053293265,0.80269843,0.78301036,0.053710416,0.86840725,0.8066196,0.79169524,-7e-45,0.061794773,0.052207716
POLR2A,0.778516,-1.8e-44,0.06333071,0.7460433,0.71609634,0.06540135,0.055692866,0.7431743,0.7248948,0.056358367,0.8039786,0.75291264,0.73296344,-7e-45,0.06490617,0.054747127
IGDCC4,1.020583,-2.2e-44,0.043938786,0.97831017,0.9390601,0.043478444,0.03868535,0.97432446,0.9505935,0.038034357,1.0541931,0.95351785,0.9610616,-1e-44,0.0436111,0.037075147
AIF1L,0.718809,-2.2e-44,0.43760604,0.68955874,0.66158444,0.47162735,0.38382405,0.686766,0.6691019,0.39955676,0.74195313,1.0402831,0.676358,-1.3e-44,0.45797163,0.38818955
NIPSNAP1,0.40667865,-1.1e-44,0.100298196,0.38928086,0.3736178,0.10686695,0.0881103,0.3881227,0.37820163,0.09108609,0.41962853,0.45128995,0.38257962,-1e-45,0.1051562,0.088284634
VHL,1.0557797,-2.2e-44,0.038456112,1.0120742,0.97147393,0.03740138,0.033878475,1.0079278,0.9834099,0.032929227,1.0905735,0.98026544,0.9942287,-1e-44,0.037718505,0.0321348
KLHL6,0.5098725,-1.3e-44,0.091157034,0.4882942,0.46866602,0.096572496,0.080093704,0.48666057,0.47441748,0.0824732,0.5262953,0.5360141,0.47981885,-3e-45,0.09515995,0.07997267
NR3C1,0.44787428,-1.1e-44,0.095007986,0.42880276,0.4115583,0.10097685,0.08347186,0.4274559,0.41661137,0.08614376,0.46220994,0.48362082,0.4213991,-3e-45,0.09944256,0.083505556
SECISBP2L,0.92127347,-2.1e-44,0.05044815,0.8830172,0.8475851,0.05090321,0.04439524,0.8794906,0.8579992,0.04422632,0.9515407,0.86990374,0.867484,-8e-45,0.05082892,0.04303761
SH3BP5,0.715511,-1.7e-44,0.070180885,0.68559456,0.6580673,0.07306353,0.061699606,0.683015,0.66615057,0.06278008,0.7388537,0.702338,0.6735933,-6e-45,0.07234188,0.06095177
ARID3A,1.0157291,-2.2e-44,0.043309823,0.97364986,0.93458706,0.04281371,0.03813436,0.9696871,0.9460675,0.037468933,1.0491755,0.9485702,0.95648825,-1e-44,0.0429694,0.036523387
ASNS,0.6428698,-1.5e-44,0.07529783,0.61589205,0.5911573,0.078880295,0.06618783,0.6136482,0.5984211,0.06763519,0.6637674,0.6415005,0.6051445,-4e-45,0.07799483,0.06562967
