,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,0.8676849,0.14172497,0.12916762,-1.4e-44,0.6754708,-1.8e-44,0.108181745,0.108112834,0.89365554,-2.1e-44,0.7628408,0.86337245,0.87044066,0.7423681,0.11598677,0.1249986
ARNT2,0.9585531,0.112847835,0.1035064,-1.5e-44,0.7476591,-2.1e-44,0.08674879,0.08633041,0.98711365,-2.4e-44,0.8437691,0.95339996,0.9617128,0.82024103,0.09243677,0.100142494
BTG2,0.8670518,0.10266933,0.093522966,-1.3e-44,0.6763209,-1.8e-44,0.078294426,0.07768218,0.8928705,-2.1e-44,0.76318145,0.86238945,0.8699214,0.74184823,0.0837121,0.090589225
MED4,1.0617074,0.026794016,0.025762498,-1.5e-44,0.8314445,-2.2e-44,0.02165766,0.02010192,1.0930265,-2.5e-44,0.936867,1.0551175,1.0654844,0.908674,0.021682575,0.024996474
SOAT1,0.8761072,0.1569843,0.14315638,-1.4e-44,0.68154347,-2e-44,0.11991851,0.12006656,0.90237916,-2.1e-44,0.7699286,0.8718793,0.87884694,0.7495755,0.1286248,0.13849503
TLE1,1.0541301,0.025043756,0.024107695,-1.5e-44,0.8255681,-2.2e-44,0.02026324,0.018678874,1.085219,-2.5e-44,0.9302144,1.0475729,1.0578858,0.9021827,0.020210266,0.023406029
NFATC2IP,0.92037976,0.06663531,0.061045557,-1.4e-44,0.71934426,-2e-44,0.051112056,0.050029382,0.94765323,-2.1e-44,0.8111156,0.9150513,0.9235431,0.7875607,0.05411938,0.059187695
GM13597,0.11603974,0.733547,0.6635159,-1.1e-44,0.06617383,-7e-45,0.5555269,0.56325805,0.12179217,-8e-45,0.08528424,0.12187668,0.11440214,0.0980136,0.6024389,0.6415348
SOX4,0.95244986,0.105647996,0.0968899,-1.4e-44,0.74312556,-2.1e-44,0.08119552,0.08067355,0.9808053,-2.2e-44,0.83854395,0.9472705,0.95560956,0.81501603,0.08646645,0.0937608
YEATS2,1.0359479,0.022300646,0.021466374,-1.4e-44,0.81141746,-2.1e-44,0.018031985,0.016399056,1.0664895,-2.4e-44,0.9142173,1.0294814,1.0396479,0.88660574,0.0178812,0.020872965
TXNDC12,0.88202894,0.12551291,0.11448247,-1.4e-44,0.6872678,-2e-44,0.095881894,0.0955958,0.90836865,-2.1e-44,0.7758843,0.87747824,0.88488305,0.7546675,0.10263964,0.110808894
ODC1,1.0586778,-9.858608e-06,0.0003874749,-1.4e-44,0.8300272,-2.2e-44,0.00037829578,-1.5652924e-05,1.0898123,-2.5e-44,0.9348282,1.0518539,1.0625246,0.90609354,-1.2850165e-05,0.0005056858
GM24044,0.11438102,0.79591846,0.7204188,-1.3e-44,0.062724315,-7e-45,0.60323644,0.6118346,0.12029747,-8e-45,0.082382075,0.1207934,0.11255191,0.09655665,0.65397066,0.69646955
CRAMP1L,0.9960942,0.05816175,0.053888306,-1.4e-44,0.7789569,-2.1e-44,0.045180142,0.044023007,1.025579,-2.4e-44,0.8781887,0.9902066,0.99954814,0.8524381,0.047377244,0.052208573
YAF2,0.7888543,0.20447919,0.18583456,-1.4e-44,0.6115457,-1.8e-44,0.15562287,0.15638126,0.8127067,-2e-44,0.69176483,0.7856126,0.79114735,0.6747894,0.16757153,0.17977527
SLC25A4,0.98275036,0.06189187,0.057190835,-1.4e-44,0.7683736,-2.1e-44,0.04793702,0.046824068,1.0118531,-2.4e-44,0.86631626,0.9769815,0.9861464,0.84100294,0.050413787,0.055409
GM14303,0.11491553,0.77820003,0.70425445,-1.3e-44,0.06375389,-7e-45,0.5896837,0.5980356,0.12078726,-8e-45,0.08326252,0.12116409,0.11314112,0.097024806,0.6393319,0.6808641
KRBA1,0.8782101,0.13844115,0.12625104,-1.4e-44,0.68383,-2e-44,0.10574592,0.10563734,0.9044808,-2.1e-44,0.7722132,0.87380075,0.8810123,0.7513879,0.11330949,0.12217325
MAGED1,0.39798903,0.5041061,0.4562866,-1.3e-44,0.29498392,-1.1e-44,0.38202977,0.38673022,0.41129953,-1.3e-44,0.33961418,0.39995208,0.39802212,0.33972105,0.41381824,0.4412197
PDIA6,1.0179827,0.030762002,0.02905123,-1.4e-44,0.79705024,-2.1e-44,0.02437517,0.02284959,1.0480214,-2.4e-44,0.89815384,1.0117073,1.0215946,0.871208,0.024811357,0.028211609
PHLDA3,0.92962795,0.10146256,0.09289713,-1.4e-44,0.7253895,-2e-44,0.07782687,0.07723366,0.95729387,-2.2e-44,0.81848216,0.9245561,0.93272024,0.7954646,0.08292961,0.08992739
DCXR,0.8598712,0.14108542,0.12852469,-1.4e-44,0.6693709,-1.8e-44,0.10763553,0.107553236,0.8856085,-2.1e-44,0.75595385,0.8556027,0.86260134,0.73567367,0.11543154,0.12438508
COL27A1,0.9029716,0.12453459,0.11374876,-1.4e-44,0.7037096,-2e-44,0.09528584,0.094998166,0.9299277,-2.2e-44,0.79440534,0.89827853,0.90590197,0.77261186,0.10190304,0.110081345
POLR2K,0.8850449,0.15228826,0.13893893,-1.4e-44,0.6887077,-2e-44,0.116390504,0.1164784,0.9115652,-2.1e-44,0.7779314,0.8807176,0.88782996,0.7572361,0.124775,0.13441548
FOXP1,0.9333983,0.124888,0.11430242,-1.4e-44,0.72753596,-2e-44,0.09577788,0.0955125,0.9612557,-2.2e-44,0.8212728,0.92851466,0.93643415,0.7986814,0.102299474,0.11058777
NOTCH1,0.8769481,0.107583985,0.098082975,-1.4e-44,0.6839051,-1.8e-44,0.08212688,0.08158862,0.9030764,-2.1e-44,0.7718096,0.87226737,0.8798378,0.75032467,0.087807156,0.09498215
PHF14,1.0289518,0.034902245,0.032912686,-1.4e-44,0.8055017,-2.1e-44,0.027622879,0.026161164,1.0593293,-2.4e-44,0.9077473,1.022644,1.0325899,0.8806041,0.02827014,0.031929225
SOX15,0.88595515,0.13226625,0.120675035,-1.4e-44,0.69011104,-2e-44,0.10107773,0.10088773,0.912434,-2.1e-44,0.7791967,0.8814405,0.8888028,0.75802755,0.10823361,0.116783276
PARVB,0.91152745,0.13440117,0.122817405,-1.4e-44,0.71007276,-2e-44,0.10289739,0.10275178,0.9387703,-2.2e-44,0.8017352,0.9068693,0.9144584,0.77993685,0.11008534,0.11882799
FOSL2,0.8198424,0.18413872,0.16750841,-1.4e-44,0.63652515,-1.8e-44,0.14028537,0.14077875,0.8445422,-2e-44,0.7196048,0.81621885,0.8223043,0.7013518,0.15087,0.16205542
TAF6,0.9385303,0.09538177,0.087415785,-1.4e-44,0.73257387,-2e-44,0.073239096,0.07256645,0.96643895,-2.2e-44,0.8264857,0.9333466,0.9416719,0.8030956,0.07793546,0.0846277
PURA,1.0018375,0.037121624,0.03473197,-1.4e-44,0.78418183,-2.1e-44,0.0291235,0.027677134,1.0314204,-2.4e-44,0.8837465,0.99572265,1.0053742,0.8573713,0.030011043,0.03371048
GJB3,0.8713123,0.14942956,0.13622597,-1.4e-44,0.67804706,-2e-44,0.11410323,0.11414349,0.8974164,-2.1e-44,0.76586735,0.8670465,0.8740577,0.7454716,0.12236575,0.13180909
SNORD43,0.11457459,0.7915026,0.7163908,-1.3e-44,0.06302822,-7e-45,0.59985924,0.60839605,0.12048168,-8e-45,0.08265485,0.12094578,0.11275935,0.09672505,0.6503226,0.69258064
HNRNPK,1.1499056,-0.00027120678,-0.00022769703,-1.5e-44,0.90240264,-2.4e-44,-0.00018954738,-0.00021208689,1.1836501,-2.7e-44,1.0160105,1.1422632,1.1541489,0.9842732,-0.00022569075,-0.00021931945
MYBBP1A,1.0093449,0.038030356,0.035618275,-1.4e-44,0.7900324,-2.1e-44,0.02987352,0.028444052,1.0391531,-2.4e-44,0.8903568,1.0031905,1.0129051,0.8638031,0.030787721,0.034559146
CREB3,0.92251617,0.115987495,0.10609774,-1.4e-44,0.71931696,-2e-44,0.0888886,0.08849324,0.9500214,-2.2e-44,0.81186575,0.91762125,0.92554045,0.7893628,0.094907545,0.10267726
SLC5A11,0.89440006,0.110520825,0.10089569,-1.4e-44,0.6974771,-2e-44,0.08450119,0.08401365,0.9210546,-2.1e-44,0.787157,0.8896347,0.8973422,0.7652757,0.090294,0.09768115
ATF2,0.8939228,0.105018824,0.095871136,-1.4e-44,0.6972928,-2e-44,0.08028784,0.07972361,0.92054445,-2.1e-44,0.7868622,0.88911057,0.8968794,0.76487005,0.08574575,0.092831254
GM8355,0.11574271,0.73472923,0.6645923,-1.1e-44,0.06590025,-7e-45,0.5564292,0.5641766,0.121490374,-8e-45,0.08499443,0.12159212,0.11410038,0.09775837,0.60341465,0.6425745
E2F6,0.9535642,0.06632838,0.061017588,-1.4e-44,0.74535406,-2e-44,0.051118925,0.05005096,0.9818185,-2.2e-44,0.84043425,0.9480215,0.95684475,0.81599355,0.053979605,0.059130058
KRT8,0.84057665,0.16281387,0.14820614,-1.4e-44,0.6535051,-1.8e-44,0.12412008,0.12432887,0.8658171,-2.1e-44,0.7384104,0.83662784,0.84317464,0.7191294,0.13331997,0.14340267
FOXJ3,1.0560284,-9.045899e-06,0.00044077635,-1.4e-44,0.8279488,-2.2e-44,0.00042067468,-1.5223771e-05,1.087085,-2.5e-44,0.9324865,1.049222,1.0598656,0.90382385,-1.2279897e-05,0.000560537
TCL1,0.9017906,0.12677054,0.11578021,-1.4e-44,0.7027072,-2e-44,0.09698805,0.096730776,0.9287193,-2.2e-44,0.7933106,0.89712536,0.9047101,0.7715987,0.10374663,0.11204349
FGF10,0.83619493,0.18003578,0.16388857,-1.4e-44,0.64947855,-1.8e-44,0.13726522,0.1377109,0.86136466,-2.1e-44,0.73414344,0.8324301,0.83872646,0.71536523,0.1475358,0.15854587
MYMX,0.97923493,0.062126577,0.057378292,-1.4e-44,0.7656113,-2.1e-44,0.04809098,0.04697928,1.0082344,-2.4e-44,0.8632057,0.97349054,0.98261786,0.8379907,0.05059564,0.055593178
ARID1A,1.00882,0.011787951,0.011664346,-1.4e-44,0.7905251,-2.1e-44,0.009788185,0.0079951435,1.0385234,-2.4e-44,0.890496,1.0024296,1.0124546,0.8633685,0.009097517,0.011439145
HEY2,0.9289512,0.11397463,0.10430972,-1.4e-44,0.72442794,-2e-44,0.087395296,0.08697568,0.9566399,-2.2e-44,0.81759614,0.9239969,0.932004,0.7948775,0.09326625,0.100945316
GM44429,0.117962316,0.6441554,0.58195806,-1e-44,0.07076124,-6e-45,0.48714542,0.49363387,0.12346618,-7e-45,0.08904161,0.12297717,0.11659728,0.099711984,0.528581,0.562799
IRF4,0.75049275,0.24989668,0.2269884,-1.4e-44,0.5799248,-1.7e-44,0.1900938,0.19146167,0.77336514,-2e-44,0.65683395,0.7479069,0.75251627,0.6418948,0.20496932,0.21953896
OVOL1,0.85778433,0.16363971,0.1490905,-1.4e-44,0.66695845,-1.8e-44,0.124877304,0.1251074,0.88353676,-2.1e-44,0.7535909,0.8537334,0.8604401,0.73387253,0.13406144,0.1442405
SIN3A,0.6594617,0.10837391,0.097149506,-1e-44,0.51348394,-1.4e-44,0.08114555,0.08049685,0.679159,-1.5e-44,0.5796895,0.65617394,0.6615883,0.5639825,0.08770957,0.094284326
MIR291B,0.11736535,0.6762606,0.6112506,-1.1e-44,0.069187,-7e-45,0.5117056,0.5186404,0.12296127,-7e-45,0.08777487,0.122674935,0.11590284,0.09918219,0.55510765,0.5910777
EIF4A2,0.9605149,0.078004465,0.07172531,-1.4e-44,0.7503973,-2.1e-44,0.060103297,0.059201628,0.9890146,-2.2e-44,0.8463048,0.95503366,0.9637851,0.8219421,0.06365165,0.06946045
ZFP989,0.11582647,0.7579837,0.68581355,-1.3e-44,0.0651646,-7e-45,0.57422256,0.5822937,0.12165611,-8e-45,0.084533215,0.12188632,0.11411567,0.09781698,0.62263036,0.66306055
NR2F2,0.8722807,0.15402353,0.1404255,-1.4e-44,0.6786475,-2e-44,0.11762526,0.11772996,0.8984293,-2.1e-44,0.7666169,0.8680504,0.87501585,0.74629873,0.12616515,0.13586226
LDLRAP1,0.9053848,0.13257973,0.12110865,-1.4e-44,0.705323,-2e-44,0.10145905,0.10128456,0.93243957,-2.2e-44,0.7963515,0.90074927,0.9082997,0.7746749,0.10855925,0.11718402
BAZ1A,0.9899044,0.07102287,0.06557758,-1.4e-44,0.7736639,-2.1e-44,0.05497554,0.053993642,1.0192499,-2.4e-44,0.8724251,0.9841728,0.99329835,0.84712726,0.057983458,0.06349866
MCM2,0.958985,0.10610625,0.09735772,-1.5e-44,0.74822986,-2.1e-44,0.08159377,0.0810819,0.98753536,-2.4e-44,0.84430593,0.9537681,0.9621662,0.82061505,0.086867556,0.09420641
PHF12,1.0189939,0.010896057,0.010929868,-1.4e-44,0.7985269,-2.1e-44,0.009181291,0.007380128,1.0489948,-2.4e-44,0.8995034,1.0125313,1.0226674,0.87208563,0.008398116,0.0107179135
POU4F2,0.9476098,0.05967924,0.05490476,-1.4e-44,0.74091816,-2e-44,0.045988098,0.044824287,0.9756653,-2.2e-44,0.8353279,0.9420448,0.95088935,0.8108955,0.04846482,0.053234503
RARG,0.99119097,0.04481612,0.041672617,-1.4e-44,0.7755753,-2.1e-44,0.034933254,0.03358777,1.020485,-2.4e-44,0.8741652,0.9852136,0.9946673,0.8482447,0.036332652,0.040420547
GLMP,0.7754707,0.24304354,0.22092429,-1.4e-44,0.5997306,-1.8e-44,0.18503207,0.18631904,0.79905874,-2e-44,0.67905456,0.77266353,0.777602,0.6632999,0.19939196,0.21366201
CUX1,0.91368514,0.07068671,0.06469171,-1.4e-44,0.7139596,-2e-44,0.0541631,0.053132936,0.9407744,-2.1e-44,0.8051091,0.9084359,0.9168131,0.78182244,0.057444066,0.06271379
