,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
EPOR,3.5826793,-0.006436417,-0.05028166,-0.029199319,4.439914,0.008847974,-3.962608e-08,2.8645086,-0.029042257,-0.00013732634,0.01423426,4.390087,-4.5543253e-05,4.0981464,-0.04708517,4.8938136
FOS,3.3141804,-0.0019935442,-0.046619404,-0.027030941,4.1142173,0.9819097,-3.6620907e-08,2.6521451,-0.02687325,0.9632421,0.98355716,4.065672,-4.2010928e-05,3.800049,-0.043609995,4.531656
HAGH,3.2798984,-0.0016613876,-0.046145562,-0.026752893,4.072214,1.0485035,-3.6239346e-08,2.624895,-0.026595892,1.0302014,1.0498652,4.023976,-4.1566946e-05,3.761454,-0.04316308,4.4851394
RASAL3,3.068192,-0.002406927,-0.04314495,-0.025021717,3.8078642,0.7744815,-3.390779e-08,2.4550085,-0.024878187,0.75692487,0.7764567,3.7632165,-3.8908234e-05,3.5167713,-0.040364984,4.1945963
IFI204,1.4160748,0.15384799,-0.01998841,-0.011561263,1.7622647,1.0289378,-1.5625703e-08,1.1348585,-0.011490798,1.022615,1.0275384,1.7397056,-1.786936e-05,1.6294633,-0.01866241,1.9387087
PLXNC1,3.2734668,-0.00492221,-0.045968268,-0.026683949,4.0584354,0.24661005,-3.6197303e-08,2.6178732,-0.026538016,0.22654642,0.250709,4.0122714,-4.1582545e-05,3.7466743,-0.04303388,4.472511
CHUK,3.5049284,-0.003966822,-0.04925261,-0.02857737,4.3477,0.58053744,-3.8745235e-08,2.803692,-0.02841623,0.5597267,0.5838392,4.297527,-4.4485227e-05,4.014507,-0.046094995,4.790331
RAB32,2.6237261,-0.0009536442,-0.036925614,-0.021402461,3.2582371,0.93897545,-2.8985909e-08,2.1000764,-0.021277301,0.9246581,0.939715,3.2192936,-3.3236523e-05,3.0099218,-0.03453174,3.5881598
TMEM176A,4.3528633,-0.006473772,-0.061124686,-0.035483405,5.3967323,0.33183247,-4.8132634e-08,3.4809716,-0.03528636,0.3049942,0.33727428,5.335514,-5.529758e-05,4.982059,-0.057227083,5.947581
GPR171,3.491273,-0.0040883506,-0.049057115,-0.028465342,4.3305197,0.54488665,-3.859548e-08,2.7926927,-0.02830532,0.52408856,0.54829407,4.280622,-4.4315904e-05,3.9985588,-0.045913514,4.771505
BIRC5,4.3468986,-0.0028325373,-0.06113755,-0.03545312,5.395784,1.2216222,-4.803435e-08,3.4782894,-0.035244394,1.1968266,1.2240107,5.332444,-5.511365e-05,4.9834733,-0.05719821,5.9436946
RNF4,3.3263912,0.16671543,-0.046888713,-0.02714906,4.1358852,1.8842518,-3.672329e-08,2.6640222,-0.026978668,1.8675253,1.8828181,4.0849395,-4.205667e-05,3.8223693,-0.043820772,4.552664
MYC,0.32598943,0.62343,-0.004766692,-0.002690126,0.4163552,1.7141216,-3.5415146e-09,0.26504168,-0.0026621365,1.7170359,1.7093034,0.4069886,-3.919496e-06,0.3890992,-0.004371393,0.45262673
UBXN2B,3.8040164,-0.0027079391,-0.0534972,-0.031024128,4.7215247,1.0180343,-4.203735e-08,3.0438175,-0.03084327,0.99628,1.0202935,4.666155,-4.8235226e-05,4.3606496,-0.050050814,5.201039
TES,2.7494857,-0.0015007624,-0.03868173,-0.022425825,3.41351,0.8591343,-3.0379724e-08,2.200425,-0.022295918,0.843828,0.86034,3.373035,-3.484534e-05,3.1530244,-0.03618037,3.7595882
PRKAB1,3.7996671,-0.002881977,-0.05343133,-0.030987762,4.715812,0.97352576,-4.1990837e-08,3.0402365,-0.030807707,0.9517033,0.9759344,4.660612,-4.818531e-05,4.355263,-0.049991164,5.194883
TEAD2,3.6124654,-0.006616723,-0.0506976,-0.029441558,4.4767065,-0.00017268746,-3.9952987e-08,2.8883195,-0.029285077,-0.00038908102,-0.00010647639,4.426368,-4.5916946e-05,4.1321216,-0.047474593,4.934204
NR2C1,2.6105464,-0.0010464494,-0.036737572,-0.021294452,3.2416968,0.9105408,-2.8841168e-08,2.0894732,-0.021170279,0.89624286,0.9113559,3.2030056,-3.307239e-05,2.9945836,-0.03435691,3.5700178
TNFAIP2,3.8708727,-0.0061734873,-0.054346338,-0.031552136,4.7984357,0.19756642,-4.2806562e-08,3.0953403,-0.031379204,0.17353451,0.20273578,4.744178,-4.9185e-05,4.4295225,-0.05088393,5.288446
TARS,4.2884116,-0.004915309,-0.06025868,-0.03496538,5.3194227,0.6859682,-4.7406925e-08,3.4302776,-0.03476656,0.6603422,0.6900992,5.2582135,-5.4435015e-05,4.911618,-0.056399588,5.861224
STAP1,3.5901275,-0.00550813,-0.050411213,-0.02926477,4.4508176,0.2395753,-3.9699906e-08,2.871004,-0.029104272,0.21745317,0.24417901,4.4003158,-4.5609984e-05,4.1088004,-0.04719593,4.9050956
DCAF13,3.6290257,-0.0010782153,-0.051076718,-0.029604524,4.5070076,1.3419759,-4.009014e-08,2.9046848,-0.029427415,1.3220817,1.3428625,4.4532413,-4.5970723e-05,4.163497,-0.04776863,4.9635196
HDAC7,1.5911293,0.09129338,-0.022436501,-0.012986456,1.9786432,0.9511175,-1.7564686e-08,1.2746191,-0.012908928,0.94348836,0.9502483,1.95387,-2.010478e-05,1.8289675,-0.020959135,2.177494
APEH,3.3246722,-0.002365065,-0.046757247,-0.027114669,4.126592,0.8953464,-3.6740133e-08,2.660329,-0.026957648,0.8764075,0.8972973,4.078118,-4.21549e-05,3.8112478,-0.0437431,4.545576
CLDN13,4.2809916,-0.007875029,-0.0600768,-0.034890022,5.305051,-0.0003754393,-4.7347967e-08,3.4227087,-0.03470281,-0.00063572475,-0.00029874445,5.2455754,-5.442044e-05,4.8965783,-0.056261122,5.847444
SACM1L,3.4761245,-0.0008300611,-0.048930496,-0.028358195,4.317482,1.336852,-3.8399207e-08,2.7824397,-0.028188225,1.3179321,1.3375239,4.2658324,-4.40271e-05,3.988564,-0.045758493,4.754604
PHF10,3.6606047,-0.005058585,-0.05141547,-0.029842095,4.539177,0.38013566,-4.047429e-08,2.9276752,-0.02967645,0.35787445,0.38436377,4.487358,-4.6489087e-05,4.190712,-0.04813017,5.0020547
TFR2,3.5302951,-0.00594361,-0.049557194,-0.028774368,4.3757076,0.10703473,-3.9042966e-08,2.8228607,-0.028618418,0.084996596,0.1119973,4.326357,-4.4865283e-05,4.0391374,-0.046402063,4.8227177
PTDSS1,4.2047853,-0.0043284018,-0.059096847,-0.034286004,5.216567,0.79374444,-4.647809e-08,3.363677,-0.0340896,0.768902,0.7973816,5.156241,-5.3358548e-05,4.816966,-0.05530634,5.7474914
ME2,4.317347,-0.0013365381,-0.06076127,-0.035219554,5.361725,1.5754982,-4.7694687e-08,3.4554954,-0.035007443,1.551689,1.5766301,5.2979164,-5.4694916e-05,4.9529495,-0.056829486,5.9050183
NAMPT,3.8651268,-0.0014932171,-0.05438994,-0.031528894,4.7996054,1.3420789,-4.2701494e-08,3.0934308,-0.031340852,1.3206598,1.3433216,4.7425933,-4.8972943e-05,4.4335465,-0.050872147,5.2860813
TAF1,3.0900936,-0.0027208226,-0.043444976,-0.025198843,3.8345191,0.707021,-3.415245e-08,2.4723597,-0.025055215,0.6891754,0.7092645,3.7897365,-3.919491e-05,3.541198,-0.040649123,4.2241945
